baselineWT_1	24hrsWT_1	30hrsWT_1	40hrsWT_1	48hrsWT_1	96hrsWT_1	7daysWT_1	4wksWT_1
ENSMUSG00000000001	25.189	24.6851333333333	24.9023	28.2348666666667	27.5691	33.0997666666667	24.4175666666667	25.7696
ENSMUSG00000000003	0	0	0	0	0	0	0	0
ENSMUSG00000000028	0.542967	1.077347	5.352435	11.2160633333333	5.37773	0.831133333333333	0.604673	0.590238
ENSMUSG00000000031	0.0467954	0.0718913333333333	0.13886475	0.3479623	0.434332	0.0497293666666667	0.209285333333333	0.175070266666667
ENSMUSG00000000037	0	0.00863336666666667	0.01985775	0.686092666666667	0.789401	0.0222748333333333	0.104447766666667	0.00672176666666667
ENSMUSG00000000049	1515.98666666667	1109.85333333333	1190.73	1010.78333333333	942.4715	1719.04666666667	1327.53	1310.88333333333
ENSMUSG00000000056	10.40175	6.08216	9.58496	7.81213333333333	7.107675	10.87364	10.7398833333333	7.13069666666667
ENSMUSG00000000058	0.92331	1.19207433333333	1.3865	2.77861333333333	2.9794	1.66359666666667	1.148174	0.843628
ENSMUSG00000000078	0.851091333333333	1.55343333333333	1.22947	5.36715333333333	4.75772	1.21760233333333	1.45232333333333	1.45973333333333
ENSMUSG00000000085	3.48971	3.17423666666667	3.37802	3.40689333333333	3.61075	1.89806	4.80807333333333	4.06696666666667
ENSMUSG00000000088	236.355	168.228666666667	207.856	222.206333333333	219.8435	213.189333333333	249.088	251.125666666667
ENSMUSG00000000093	0.389870333333333	0.614785333333333	0.9291755	1.51571333333333	1.1997335	0.542940666666667	0.694500333333333	0.471132
ENSMUSG00000000094	0	0	0	0.0116963666666667	0.0087831	0.00644773333333333	0.0053738	0.0042686
ENSMUSG00000000120	0.755444	1.057966	0.673767	1.409827	1.619645	0.388768	0.796270666666667	0.778465333333333
ENSMUSG00000000125	0.00613613333333333	0	0	0	0	0	0	0
ENSMUSG00000000126	0.1704763	0.176885	0.236427	0.113624366666667	0.12041	0.0862809	0.0723572333333333	0.131949533333333
ENSMUSG00000000127	1.79431666666667	1.97250666666667	2.162785	2.42987	2.45315	1.71177	1.97093	1.83594
ENSMUSG00000000131	11.7632333333333	10.75663	8.91462	10.1166733333333	12.4163	8.90817666666667	17.4657666666667	14.242
ENSMUSG00000000134	5.76004	11.7565	9.454025	9.74247333333333	10.639665	4.69475666666667	7.97121666666667	8.09379666666667
ENSMUSG00000000142	1.64669766666667	3.65563	2.2321385	2.02178666666667	2.72319	1.14756766666667	2.48518	1.91710333333333
ENSMUSG00000000148	3.332	3.2472	3.145695	2.61221333333333	2.853085	2.28492	3.12008333333333	2.76143666666667
ENSMUSG00000000149	32.0886	33.8766333333333	41.7974	31.6217666666667	29.029	22.1963333333333	43.3341666666667	27.3638666666667
ENSMUSG00000000154	69.6962	57.5957333333333	59.1692	60.1497	57.02755	50.3145666666667	79.3677666666667	79.9798333333333
ENSMUSG00000000157	0.0580419666666667	0.1017461	0.059036	0.00721853333333333	0.055154	0.0216651	0.0208834	0.0185720333333333
ENSMUSG00000000159	14.1010666666667	21.7464333333333	16.9569	13.3338333333333	13.6167	21.5749666666667	14.8874	16.0065333333333
ENSMUSG00000000167	0.270402666666667	0.524091	0.52735	0.506472	0.6588625	0.440147	0.741329666666667	0.291481333333333
ENSMUSG00000000168	17.8019333333333	15.4276333333333	11.52185	12.5836666666667	11.971325	15.5495	15.6870333333333	16.6220666666667
ENSMUSG00000000171	141.027	114.958666666667	137.0935	150.535333333333	153.7035	168.512666666667	146.537666666667	140.085333333333
ENSMUSG00000000183	0	0	0	0	0	0	0	0
ENSMUSG00000000184	0.806977666666667	1.5546	1.50952	1.45251666666667	1.2529	1.15943666666667	1.027685	0.976786
